Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
3		3000		434		435		23		24
3		3000		434		435		24		24
4		3000		460		461		23		23
4		3000		473		474		23		24
4		3000		473		474		24		24
5		8000		390		391		23		23
5		8000		396		397		23		24
5		8000		396		397		24		24
6		2000		274		275		23		23
6		2000		296		297		23		24
6		2000		296		297		24		24
7		5000		387		388		23		23
7		5000		396		397		23		24
7		5000		396		397		24		24
8		4000		269		270		23		23
8		4000		272		273		23		24
8		4000		272		273		24		24
9		10000		491		492		23		23
9		10000		509		510		23		24
9		10000		509		510		24		24
0		10000		351		352		24		24
0		10000		360		361		24		25
0		10000		360		361		25		25
1		5000		452		453		24		24
1		5000		459		460		24		25
1		5000		459		460		25		25
2		7000		349		350		24		24
2		7000		354		355		24		25
2		7000		354		355		25		25
3		3000		434		435		24		24
3		3000		438		439		24		25
3		3000		438		439		25		25
4		3000		473		474		24		24
4		3000		504		505		24		25
4		3000		504		505		25		25
5		8000		396		397		24		24
5		8000		423		424		24		25
5		8000		423		424		25		25
6		2000		296		297		24		24
6		2000		328		329		24		25
6		2000		328		329		25		25
7		5000		396		397		24		24
7		5000		410		411		24		25
7		5000		410		411		25		25
8		4000		272		273		24		24
8		4000		281		282		24		25
8		4000		281		282		25		25
9		10000		509		510		24		24
9		10000		520		521		24		25
9		10000		520		521		25		25
0		10000		360		361		25		25
0		10000		377		378		25		26
0		10000		377		378		26		26
1		5000		459		460		25		25
1		5000		461		462		25		26
1		5000		461		462		26		26
2		7000		354		355		25		25
2		7000		379		380		25		26
2		7000		379		380		26		26
3		3000		438		439		25		25
3		3000		449		450		25		26
3		3000		449		450		26		26
4		3000		504		505		25		25
4		3000		514		515		25		26
4		3000		514		515		26		26
5		8000		423		424		25		25
5		8000		427		428		25		26
5		8000		427		428		26		26
6		2000		328		329		25		25
6		2000		333		334		25		26
6		2000		333		334		26		26
7		5000		410		411		25		25
7		5000		412		413		25		26
7		5000		412		413		26		26
8		4000		281		282		25		25
8		4000		312		313		25		26
8		4000		312		313		26		26
9		10000		520		521		25		25
9		10000		524		525		25		26
9		10000		524		525		26		26
0		10000		377		378		26		26
0		10000		385		386		26		27
0		10000		385		386		27		27
1		5000		461		462		26		26
1		5000		463		464		26		27
1		5000		463		464		27		27
2		7000		379		380		26		26
2		7000		429		430		26		27
2		7000		429		430		27		27
3		3000		449		450		26		26
3		3000		474		475		26		27
3		3000		474		475		27		27
4		3000		514		515		26		26
4		3000		516		517		26		27
4		3000		516		517		27		27
5		8000		427		428		26		26
5		8000		464		465		26		27
5		8000		464		465		27		27
6		2000		333		334		26		26
6		2000		349		350		26		27
6		2000		349		350		27		27
7		5000		412		413		26		26
7		5000		420		421		26		27
7		5000		420		421		27		27
8		4000		312		313		26		26
8		4000		340		341		26		27
8		4000		340		341		27		27
9		10000		524		525		26		26
9		10000		530		531		26		27
9		10000		530		531		27		27
0		10000		385		386		27		27
0		10000		414		415		27		28
0		10000		414		415		28		28
1		5000		463		464		27		27
1		5000		480		481		27		28
1		5000		480		481		28		28
